state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
NM,23-05-2021,148,148,148,4.01,4.01,4.01,3692,3692,3692,POINT (-106.108388 34.421369)
NV,23-05-2021,259,259,259,3.5,3.5,3.5,7576,7576,7576,POINT (-114.916992 39.283294)
NY,23-05-2021,1772,1771,1774,3.73,3.66,3.8,47483,47404,47562,POINT (-75.59655 42.921241)
OK,23-05-2021,197,197,197,2.14,2.12,2.16,9313,9308,9318,POINT (-97.508297 35.583449)
PA,23-05-2021,1442,1431,1454,4.92,4.55,5.28,29667,29610,29724,POINT (-77.838886 40.896694)
SC,23-05-2021,250,248,251,2.77,2.77,2.77,8999,8999,8999,POINT (-80.864614 33.878572)
SD,23-05-2021,44,44,44,1.86,1.86,1.86,2364,2364,2364,POINT (-100.230491 44.43614)
TN,23-05-2021,613,613,613,3.57,3.57,3.57,17610,17610,17610,POINT (-86.343226 35.842998)
UT,23-05-2021,132,132,132,2.48,2.48,2.48,5323,5323,5323,POINT (-111.678222 39.323779)
VA,23-05-2021,488,486,489,3.02,3.02,3.02,16151,16151,16151,POINT (-78.666382 37.510861)
AK,24-05-2021,17,17,17,1.18,1.18,1.18,1441,1441,1441,POINT (-151.631889 63.631126)
AZ,24-05-2021,581,581,581,4.24,4.24,4.24,13708,13708,13708,POINT (-111.664616 34.293239)
CO,24-05-2021,560,552,568,5.61,5.61,5.61,9975,9975,9975,POINT (-105.547832 38.998552)
DE,24-05-2021,81,81,81,2.74,2.74,2.74,2958,2958,2958,POINT (-75.452394 38.994926)
FL,24-05-2021,2584,2582,2587,5.04,5.04,5.04,52266,52266,52266,POINT (-82.420978 28.260731)
HI,24-05-2021,61,61,61,2.46,2.46,2.46,2476,2476,2476,POINT (-157.854309 21.361013)
IA,24-05-2021,214,214,214,2.83,2.83,2.83,7665,7660,7670,POINT (-93.500061 42.074659)
IL,24-05-2021,1432,1432,1432,4.99,4.99,4.99,28704,28704,28704,POINT (-89.148632 40.124144)
KY,24-05-2021,369,369,369,3.02,3.02,3.02,12225,12225,12225,POINT (-85.290484 37.526683)
MA,24-05-2021,242,240,244,1.46,1.46,1.46,16566,16566,16566,POINT (-71.481104 42.151077)
ME,24-05-2021,128,127,129,4.47,4.13,4.82,2862,2849,2875,POINT (-69.06137 45.117911)
MN,24-05-2021,439,438,440,4.66,4.66,4.66,9419,9419,9419,POINT (-94.198308 46.349153)
MO,24-05-2021,641,641,641,4.55,4.55,4.55,14081,14081,14081,POINT (-92.477244 38.3675)
MS,24-05-2021,228,228,228,2.92,2.92,2.92,7806,7806,7806,POINT (-89.65344 32.713378)
MT,24-05-2021,68,68,68,2.38,2.38,2.38,2857,2857,2857,POINT (-109.645127 47.033521)
ND,24-05-2021,92,91,94,4.66,4.66,4.66,1983,1983,1983,POINT (-100.46931 47.446305)
NE,24-05-2021,85,84,86,2.15,2.15,2.15,4035,4035,4035,POINT (-99.810595 41.527099)
NH,24-05-2021,54,54,54,1.95,1.95,1.95,2776,2776,2776,POINT (-71.57139 43.680429)
NJ,24-05-2021,710,708,712,3.5,3.5,3.5,20300,20300,20300,POINT (-74.655514 40.110253)
NM,24-05-2021,148,148,149,4.04,4.04,4.04,3680,3680,3680,POINT (-106.108388 34.421369)
NV,24-05-2021,275,275,275,3.71,3.71,3.71,7585,7585,7585,POINT (-114.916992 39.283294)
NY,24-05-2021,1858,1829,1886,3.93,3.16,4.69,47312,46762,47863,POINT (-75.59655 42.921241)
OK,24-05-2021,200,197,204,2.17,0.98,3.36,9352,9007,9697,POINT (-97.508297 35.583449)
PA,24-05-2021,1452,1447,1457,5.19,4.99,5.39,28326,28256,28395,POINT (-77.838886 40.896694)
SC,24-05-2021,265,265,265,2.93,2.93,2.93,9031,9031,9031,POINT (-80.864614 33.878572)
SD,24-05-2021,37,37,37,1.57,1.57,1.57,2364,2364,2364,POINT (-100.230491 44.43614)
TN,24-05-2021,593,592,594,3.45,3.45,3.45,17595,17595,17595,POINT (-86.343226 35.842998)
UT,24-05-2021,136,136,136,2.55,2.55,2.55,5323,5323,5323,POINT (-111.678222 39.323779)
VA,24-05-2021,526,526,526,3.26,3.26,3.26,16123,16123,16123,POINT (-78.666382 37.510861)
AK,25-05-2021,23,23,23,1.59,1.59,1.59,1448,1448,1448,POINT (-151.631889 63.631126)
AZ,25-05-2021,579,579,579,4.14,4.14,4.14,14004,14004,14004,POINT (-111.664616 34.293239)
CO,25-05-2021,571,571,571,5.73,5.73,5.73,9970,9970,9970,POINT (-105.547832 38.998552)
DE,25-05-2021,78,78,78,2.63,2.63,2.63,2967,2967,2967,POINT (-75.452394 38.994926)
FL,25-05-2021,2620,2618,2621,5.07,5.04,5.11,52586,52560,52612,POINT (-82.420978 28.260731)
HI,25-05-2021,67,67,67,2.71,2.71,2.71,2476,2476,2476,POINT (-157.854309 21.361013)
IA,25-05-2021,148,147,149,1.96,1.96,1.96,7646,7646,7646,POINT (-93.500061 42.074659)
IL,25-05-2021,1415,1414,1416,4.93,4.93,4.93,28724,28724,28724,POINT (-89.148632 40.124144)
KY,25-05-2021,368,368,369,3.02,3.02,3.02,12221,12221,12221,POINT (-85.290484 37.526683)
MA,25-05-2021,254,251,257,1.52,1.52,1.52,16656,16656,16656,POINT (-71.481104 42.151077)
ME,25-05-2021,137,137,137,4.78,4.78,4.78,2868,2868,2868,POINT (-69.06137 45.117911)
MN,25-05-2021,432,431,432,4.49,4.49,4.49,9602,9602,9602,POINT (-94.198308 46.349153)
MO,25-05-2021,655,653,657,4.56,4.56,4.56,14368,14368,14368,POINT (-92.477244 38.3675)
MS,25-05-2021,234,233,234,2.97,2.97,2.97,7856,7856,7856,POINT (-89.65344 32.713378)
MT,25-05-2021,63,63,63,2.21,2.15,2.26,2857,2852,2862,POINT (-109.645127 47.033521)
ND,25-05-2021,88,87,88,4.34,4.17,4.52,2015,2012,2018,POINT (-100.46931 47.446305)
NE,25-05-2021,92,92,92,2.33,2.33,2.33,4029,4029,4029,POINT (-99.810595 41.527099)
NH,25-05-2021,61,61,61,2.2,2.2,2.2,2776,2776,2776,POINT (-71.57139 43.680429)
NJ,25-05-2021,650,649,651,3.19,3.19,3.19,20366,20366,20366,POINT (-74.655514 40.110253)
NM,25-05-2021,142,142,142,3.86,3.86,3.86,3679,3679,3679,POINT (-106.108388 34.421369)
NV,25-05-2021,246,246,246,3.32,3.32,3.32,7580,7580,7580,POINT (-114.916992 39.283294)
NY,25-05-2021,1812,1812,1812,3.79,3.79,3.79,47771,47771,47771,POINT (-75.59655 42.921241)
OK,25-05-2021,210,210,210,2.27,2.27,2.27,9357,9357,9357,POINT (-97.508297 35.583449)
PA,25-05-2021,1552,1552,1552,5.46,5.46,5.46,28763,28763,28763,POINT (-77.838886 40.896694)
SC,25-05-2021,249,248,250,2.74,2.74,2.74,9076,9076,9076,POINT (-80.864614 33.878572)
SD,25-05-2021,44,44,44,1.86,1.86,1.86,2364,2364,2364,POINT (-100.230491 44.43614)
TN,25-05-2021,598,595,600,3.48,3.48,3.48,17608,17608,17608,POINT (-86.343226 35.842998)
UT,25-05-2021,145,144,146,2.73,2.73,2.73,5319,5319,5319,POINT (-111.678222 39.323779)
VA,25-05-2021,534,533,535,3.31,3.31,3.31,16111,16111,16111,POINT (-78.666382 37.510861)
AK,26-05-2021,21,21,21,1.44,1.44,1.44,1454,1454,1454,POINT (-151.631889 63.631126)
AZ,26-05-2021,558,556,560,3.97,3.97,3.97,14085,14085,14085,POINT (-111.664616 34.293239)
CO,26-05-2021,554,552,556,5.56,5.56,5.56,9964,9964,9964,POINT (-105.547832 38.998552)
DE,26-05-2021,71,71,71,2.4,2.4,2.4,2955,2955,2955,POINT (-75.452394 38.994926)
FL,26-05-2021,2528,2527,2530,4.89,4.84,4.93,52721,52689,52753,POINT (-82.420978 28.260731)
HI,26-05-2021,69,68,70,2.78,2.78,2.78,2483,2483,2483,POINT (-157.854309 21.361013)
IA,26-05-2021,161,160,162,2.12,2.12,2.12,7689,7689,7689,POINT (-93.500061 42.074659)
