station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-02-14,15.26,21.2,16.7,31.31716,360,46.97574,2.7165369,3.93701,0.12992133
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-02-14,-6.88,17.24,2.66,2.908022,310,12.974252,0.393701,12.992133,0.01968505
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-02-14,28.22,39.02,33.8,8.052984,280,25.053728,0.1968505,5.118113,0.0393701
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,2017-02-14,23.18,37.04,29.84,8.94776,270,31.988242,1.181103,24.015761,0.05905515
HOUGHTON LK ROSCOMMON AP,MI,44.3592,-84.6739,350.8,2017-02-14,22.1,39.02,32.18,10.737312,260,31.988242,0.5118113,7.87402,0.01968505
KODIAK AP,AK,57.7511,-152.4856,24.4,2017-02-14,20.12,39.02,38.3,7.605596,180,29.974996,0.5118113,1.181103,0.5905515
KING SALMON,AK,58.6794,-156.6294,19.2,2017-02-14,4.1,29.12,21.74,6.71082,180,21.922012,2.7952771,1.181103,0.25984266
COLD BAY AP,AK,55.2208,-162.7325,23.8,2017-02-14,20.12,26.24,20.66,9.618842,140,19.908766,0.7086618,1.181103,0.07086618
BETHEL AP,AK,60.785,-161.8292,31.1,2017-02-14,7.16,17.24,7.52,23.711564,30,40.936002,0.5905515,7.87402,0.05905515
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-14,2.12,18.14,5.18,7.158208,20,21.027236,2.5196864,18.897648,0.27165369
COLD BAY AP,AK,55.2208,-162.7325,23.8,2017-02-15,16.16,30.2,24.08,10.737312,360,25.053728,1.1023628,1.968505,0.11023628
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-02-15,17.24,19.22,18.14,25.948504,360,46.080964,0.9055123,7.086618,0.0393701
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-02-15,6.26,22.1,15.08,1.789552,350,10.06623,1.2992133,14.173236,0.09055123
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-02-15,18.14,31.1,26.06,14.987498,330,36.90951,0.3149608,5.118113,0.01968505
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-02-15,24.26,35.06,28.04,4.250186,320,18.119214,1.1023628,22.047256,0.11023628
BINGHAMTON,NY,42.1997,-75.985,489.5,2017-02-15,23.18,35.06,33.08,10.513618,310,35.119958,2.4015761,7.87402,0.12992133
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,2017-02-15,26.24,39.02,35.96,12.079476,310,29.08022,0.3149608,1.968505,0.01968505
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-02-15,27.14,39.92,34.52,13.869028,290,36.014734,1.6141741,1.181103,0.12992133
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-02-15,26.24,37.94,35.24,11.1847,270,29.974996,0.9842525,7.87402,0.25196864
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-15,27.14,35.96,35.06,8.500372,200,36.014734,2.9921276,20.078751,0.18110246
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,2017-02-15,25.16,35.96,33.26,7.381902,170,21.027236,6.4173263,9.842525,0.38188997
KODIAK AP,AK,57.7511,-152.4856,24.4,2017-02-15,19.22,37.94,29.48,7.605596,120,44.067718,4.8031522,3.93701,0.48031522
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-02-15,16.16,39.02,24.98,7.605596,90,33.106712,1.6929143,16.141741,0.92126034
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-15,8.24,15.26,13.82,9.842536,10,27.96175,0.393701,22.047256,0.01181103
BETHEL AP,AK,60.785,-161.8292,31.1,2017-02-15,2.12,18.14,11.84,11.408394,10,21.027236,0.787402,9.055123,0.0787402
ALPENA CO RGNL AP,MI,45.0717,-83.5644,208.5,2017-02-16,9.14,28.22,18.68,4.026492,320,21.027236,0.3149608,5.118113,0.03149608
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,2017-02-16,21.2,28.22,24.62,15.211192,310,36.90951,1.2992133,30.9842687,0.05905515
BURLINGTON INTL AP,VT,44.4683,-73.15,100.6,2017-02-16,25.16,28.22,25.88,10.513618,300,27.96175,2.9133874,14.960638,0.14173236
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,2017-02-16,24.26,32,29.84,14.092722,300,33.106712,2.5196864,24.015761,0.18897648
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,2017-02-16,20.12,26.24,23.9,14.54011,300,29.974996,0.787402,1.181103,0.0393701
ERIE INTL AP,PA,42.08,-80.1825,222.5,2017-02-16,24.26,28.22,26.06,11.632088,300,31.093466,0.787402,1.181103,0.0393701
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,2017-02-16,23.18,29.12,25.88,8.052984,300,21.027236,0.787402,1.181103,0.03149608
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,2017-02-16,15.26,26.24,24.44,8.500372,290,27.066974,1.6141741,1.968505,0.07086618
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,2017-02-16,14.18,32,26.78,7.82929,280,25.948504,1.4960638,1.968505,0.05118113
COLD BAY AP,AK,55.2208,-162.7325,23.8,2017-02-16,25.16,29.12,27.14,14.987498,280,25.053728,0.9842525,3.149608,0.09842525
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-02-16,21.2,26.24,24.08,14.763804,260,27.066974,4.8031522,11.023628,0.01181103
KODIAK AP,AK,57.7511,-152.4856,24.4,2017-02-16,27.14,37.04,34.88,7.605596,140,29.974996,3.3858286,3.149608,0.33858286
KING SALMON,AK,58.6794,-156.6294,19.2,2017-02-16,25.16,35.06,30.74,14.316416,90,34.001488,1.4173236,3.93701,0.09842525
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,2017-02-16,22.1,35.06,29.66,9.618842,20,31.988242,3.7007894,16.929143,0.27165369
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-16,2.12,8.24,7.52,6.263432,20,16.105968,2.0866153,22.047256,0.09055123
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,2017-02-17,18.14,30.2,23.72,7.158208,310,21.922012,0.5118113,11.81103,0.01181103
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-02-17,2.12,17.24,9.32,2.23694,310,10.06623,0.9055123,14.960638,0.05905515
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-17,24.26,30.2,27.86,2.684328,300,10.961006,1.2992133,22.047256,0.0787402
KING SALMON,AK,58.6794,-156.6294,19.2,2017-02-17,22.1,27.14,26.42,10.513618,170,23.040482,1.4173236,7.086618,0.07086618
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-18,-2.74,7.16,2.48,3.579104,330,10.961006,1.181103,22.047256,0.01968505
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-02-18,-4.9,16.16,13.64,3.802798,290,10.961006,2.9921276,16.929143,0.11023628
YAKUTAT STATE AP,AK,59.5119,-139.6711,10.1,2017-02-18,24.26,37.04,33.26,2.013246,90,10.06623,3.1889781,7.87402,0.25984266
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-18,26.24,29.12,27.86,2.013246,10,14.092722,0.787402,22.834658,0.03149608
COLD BAY AP,AK,55.2208,-162.7325,23.8,2017-02-19,13.1,20.12,15.98,12.526864,340,23.935258,0.1181103,3.149608,0.01181103
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,2017-02-19,-15.88,6.26,2.84,7.605596,260,17.000744,0.5118113,27.165369,0.01181103
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-19,20.12,28.22,26.42,6.039738,230,14.987498,3.3858286,24.015761,0.11023628
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,2017-02-19,32,37.94,34.16,5.816044,200,21.027236,0.1968505,1.181103,0.16929143
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-19,-10.84,5.18,3.2,4.921268,150,14.987498,1.8110246,22.834658,0.05905515
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-02-19,-14.8,-4.9,-10.48,8.500372,50,17.000744,0.3149608,5.905515,0.03149608
MISSOULA INTL AP,MT,46.9208,-114.0925,972.9,2017-02-20,29.12,39.02,34.16,6.487126,300,23.935258,0.1181103,3.93701,0.35826791
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,2017-02-20,-18.76,0.14,-1.48,3.579104,270,12.079476,0.1968505,20.078751,0.01181103
BETTLES AP,AK,66.9161,-151.5089,195.7,2017-02-20,-16.78,-10.84,-9.76,6.039738,160,12.079476,1.1023628,25.196864,0.0393701
COLD BAY AP,AK,55.2208,-162.7325,23.8,2017-02-20,-5.8,32,12.92,16.329662,140,51.002232,0.1181103,3.149608,0.01181103
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,2017-02-20,9.14,28.22,21.02,23.040482,90,44.067718,0.9842525,7.87402,0.12992133
BARROW POST ROGERS AP,AK,71.2833,-156.7814,9.4,2017-02-20,-16.78,-4.9,-7.06,3.131716,90,6.934514,0.1968505,5.9842552,0.01181103
ANCHORAGE INTL AP,AK,61.1689,-150.0278,36.6,2017-02-20,7.16,20.12,19.58,4.697574,30,16.105968,0.9055123,25.984266,0.01181103
MCGRATH AP,AK,62.9575,-155.6103,101.5,2017-02-21,-41.8,-6.88,-27.94,0.894776,330,8.052984,1.2992133,18.110246,0.07086618
KODIAK AP,AK,57.7511,-152.4856,24.4,2017-02-21,9.14,37.04,18.86,6.263432,270,21.922012,0.1181103,3.149608,0.0393701
